Market_and_Exchange_Names,Report_Date,NonComm_Long,NonComm_Short,Open_Interest,Net
COCOA - ICE FUTURES U.S.,2010-04-20,34798,19584,131536,15214
COCOA - ICE FUTURES U.S.,2010-04-27,39898,19959,140002,19939
COCOA - ICE FUTURES U.S.,2010-05-04,39315,17596,142818,21719
COCOA - ICE FUTURES U.S.,2010-05-11,32448,11477,141693,20971
COCOA - ICE FUTURES U.S.,2010-05-18,27744,13610,139222,14134
COCOA - ICE FUTURES U.S.,2010-05-25,29796,15655,142842,14141
COCOA - ICE FUTURES U.S.,2010-06-01,28371,14549,139697,13822
COCOA - ICE FUTURES U.S.,2010-06-08,26326,7010,130288,19316
COCOA - ICE FUTURES U.S.,2010-06-15,24197,6955,123180,17242
COCOA - ICE FUTURES U.S.,2010-06-22,25769,8976,123015,16793
COCOA - ICE FUTURES U.S.,2010-06-29,26608,8028,127792,18580
COCOA - ICE FUTURES U.S.,2010-07-06,28060,10343,132457,17717
COCOA - ICE FUTURES U.S.,2010-07-13,28141,12213,135536,15928
COCOA - ICE FUTURES U.S.,2010-07-20,29536,11746,138463,17790
COCOA - ICE FUTURES U.S.,2010-07-27,26683,13777,138726,12906
COCOA - ICE FUTURES U.S.,2010-08-03,27116,13378,136696,13738
COCOA - ICE FUTURES U.S.,2010-08-10,23948,16300,130739,7648
COCOA - ICE FUTURES U.S.,2010-08-17,20610,19343,125041,1267
COCOA - ICE FUTURES U.S.,2010-08-24,18808,23419,124416,-4611
COCOA - ICE FUTURES U.S.,2010-08-31,17573,33039,131395,-15466
COCOA - ICE FUTURES U.S.,2010-09-07,18052,36935,133760,-18883
COCOA - ICE FUTURES U.S.,2010-09-14,16765,39121,138154,-22356
COCOA - ICE FUTURES U.S.,2010-09-21,18886,38831,139259,-19945
COCOA - ICE FUTURES U.S.,2010-09-28,19482,38697,141762,-19215
COCOA - ICE FUTURES U.S.,2010-10-05,18043,38964,147762,-20921
COCOA - ICE FUTURES U.S.,2010-10-12,18642,38508,148460,-19866
COCOA - ICE FUTURES U.S.,2010-10-19,19728,39007,152321,-19279
COCOA - ICE FUTURES U.S.,2010-10-26,19744,37684,151576,-17940
COCOA - ICE FUTURES U.S.,2010-11-02,17931,37014,157044,-19083
COCOA - ICE FUTURES U.S.,2010-11-09,17340,38912,148181,-21572
COCOA - ICE FUTURES U.S.,2010-11-16,18587,40034,140005,-21447
